"","gender","age","elecdist","polintr","pltrust","govprfmBB","prtfvote16"
"331","Karl",26,5,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"332","Karl",48,4,"Lítinn áhuga","Sumum","Frekar illa","Framsóknarflokkurinn"
"333","Karl",57,7,"Lítinn áhuga","Sumum","Frekar vel",NA
"334","Karl",83,1,"Engan áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"335","Karl",69,6,"Nokkurn áhuga",NA,"Mjög illa","Sjálfstæðisflokkurinn"
"336","Karl",64,2,"Mjög mikinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"337","Karl",61,4,"Mjög mikinn áhuga","Engum","Mjög illa","Píratar"
"338","Karl",25,7,"Mikinn áhuga","Fáum","Mjög illa",NA
"339","Kona",78,5,"Lítinn áhuga","Fáum","Mjög vel","Sjálfstæðisflokkurinn"
"340","Karl",37,5,"Mjög mikinn áhuga","Sumum","Frekar illa","Samfylkingin"
"341","Kona",32,4,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"342","Kona",19,5,"Nokkurn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"343","Kona",83,7,"Mjög mikinn áhuga","Sumum","Frekar vel","Björt framtíð"
"344","Kona",67,1,"Lítinn áhuga","Engum","Mjög illa","Píratar"
"345","Kona",55,2,"Lítinn áhuga","Sumum","Frekar vel",NA
"346","Karl",61,4,"Nokkurn áhuga",NA,"Frekar illa",NA
"347","Kona",18,7,"Engan áhuga",NA,NA,NA
"348","Karl",82,4,"Mjög mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"349","Karl",68,6,"Mikinn áhuga",NA,NA,"Sjálfstæðisflokkurinn"
"350","Kona",51,2,"Nokkurn áhuga",NA,"Mjög vel","Sjálfstæðisflokkurinn"
"351","Karl",59,1,"Mikinn áhuga","Sumum","Frekar illa","Framsóknarflokkurinn"
"352","Kona",75,1,"Mikinn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"353","Kona",73,4,"Nokkurn áhuga",NA,NA,"Flokkur fólksins"
"354","Karl",21,4,"Mjög mikinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"355","Karl",39,7,"Lítinn áhuga","Sumum",NA,"Viðreisn"
"356","Karl",68,5,"Nokkurn áhuga",NA,"Frekar illa","Björt framtíð"
"357","Karl",25,5,"Mikinn áhuga","Fáum","Frekar vel","Flokkur fólksins"
"358","Karl",71,6,"Mikinn áhuga","Sumum","Frekar vel",NA
"359","Kona",61,2,"Mikinn áhuga","Yfirleitt","Frekar vel","Samfylkingin"
"360","Kona",44,6,"Mikinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"361","Karl",38,7,"Mikinn áhuga","Yfirleitt",NA,NA
"362","Karl",77,2,"Nokkurn áhuga",NA,"Frekar vel",NA
"363","Kona",68,2,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"364","Kona",51,2,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"365","Kona",55,1,"Lítinn áhuga","Sumum","Frekar illa","Framsóknarflokkurinn"
"366","Karl",73,5,"Mikinn áhuga","Yfirleitt","Frekar illa","Vinstrihreyfingin grænt framboð"
"367","Karl",71,5,"Mjög mikinn áhuga"," Mörgum","Frekar illa","Sjálfstæðisflokkurinn"
"368","Kona",48,7,"Mikinn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"369","Karl",66,7,"Nokkurn áhuga","Sumum","Frekar vel","Píratar"
"370","Kona",79,6,"Nokkurn áhuga","Sumum","Frekar vel","Samfylkingin"
"371","Karl",72,4,"Mjög mikinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"372","Karl",36,7,"Mjög mikinn áhuga","Fáum","Mjög illa","Píratar"
"373","Karl",58,7,"Nokkurn áhuga",NA,"Frekar illa","Viðreisn"
"374","Karl",72,7,"Mjög mikinn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"375","Karl",55,1,"Mjög mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"376","Karl",37,6,"Mjög mikinn áhuga","Sumum","Mjög illa",NA
"377","Kona",67,6,"Lítinn áhuga","Fáum","Frekar vel","Framsóknarflokkurinn"
"378","Karl",63,6,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"379","Karl",88,1,"Lítinn áhuga"," Mörgum",NA,"Vinstrihreyfingin grænt framboð"
"380","Karl",49,5,"Lítinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"381","Karl",36,6,"Nokkurn áhuga",NA,"Frekar vel","Björt framtíð"
"382","Karl",58,4,"Lítinn áhuga",NA,"Frekar vel",NA
"383","Karl",70,7,"Nokkurn áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"384","Kona",43,6,"Nokkurn áhuga","Fáum","Mjög illa","Píratar"
"385","Kona",89,1,"Lítinn áhuga"," Mörgum",NA,"Samfylkingin"
"386","Kona",29,7,"Lítinn áhuga","Sumum","Frekar illa","Kaus ekki"
"387","Kona",59,5,"Nokkurn áhuga","Fáum","Mjög illa","Píratar"
"388","Kona",52,7,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"389","Karl",67,4,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"390","Kona",37,5,"Nokkurn áhuga","Fáum","Frekar illa","Björt framtíð"
"391","Karl",73,2,"Mikinn áhuga","Sumum","Frekar vel","Vinstrihreyfingin grænt framboð"
"392","Kona",50,6,"Lítinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"393","Kona",41,5,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"394","Karl",50,6,"Mikinn áhuga","Yfirleitt","Frekar vel","Sjálfstæðisflokkurinn"
"395","Karl",58,6,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"396","Karl",44,5,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"397","Karl",28,7,"Mjög mikinn áhuga","Yfirleitt","Frekar vel","Viðreisn"
"398","Karl",41,5,"Lítinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"399","Kona",37,4,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"400","Karl",56,5,"Nokkurn áhuga","Fáum","Mjög illa",NA
"401","Kona",82,7,"Lítinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"402","Karl",66,5,"Nokkurn áhuga","Sumum","Frekar vel",NA
"403","Karl",58,7,"Engan áhuga","Engum","Frekar illa","Píratar"
"404","Karl",45,5,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"405","Kona",48,1,"Mjög mikinn áhuga",NA,"Frekar illa",NA
"406","Kona",90,5,"Engan áhuga","Sumum","Frekar vel",NA
"407","Karl",30,1,"Mikinn áhuga",NA,"Frekar vel","Kaus ekki"
"408","Karl",74,6,"Lítinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"409","Karl",37,1,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"410","Kona",52,6,"Mikinn áhuga",NA,"Mjög illa","Píratar"
"411","Karl",27,7,"Mikinn áhuga","Sumum","Frekar illa","Píratar"
"412","Kona",54,6,"Mikinn áhuga","Sumum","Mjög illa","Vinstrihreyfingin grænt framboð"
"413","Kona",70,5,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"414","Kona",71,6,"Mikinn áhuga",NA,"Frekar illa","Viðreisn"
"415","Karl",67,2,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"416","Kona",65,5,"Mjög mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"417","Karl",48,6,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"418","Karl",48,4,"Lítinn áhuga","Fáum","Frekar illa","Samfylkingin"
"419","Kona",59,4,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"420","Kona",40,7,"Mjög mikinn áhuga",NA,"Frekar illa","Píratar"
"421","Kona",35,6,"Mikinn áhuga","Sumum","Frekar vel","Píratar"
"422","Karl",62,5,"Mjög mikinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"423","Kona",36,5,"Nokkurn áhuga","Sumum","Frekar illa",NA
"424","Karl",57,6,"Mikinn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"425","Kona",59,6,"Mjög mikinn áhuga","Fáum","Mjög illa","Samfylkingin"
"426","Karl",59,5,"Mikinn áhuga",NA,NA,"Sjálfstæðisflokkurinn"
"427","Karl",32,6,"Mjög mikinn áhuga",NA,"Frekar vel","Píratar"
"428","Karl",80,5,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"429","Kona",82,5,"Lítinn áhuga","Sumum",NA,"Sjálfstæðisflokkurinn"
"430","Karl",54,7,"Mjög mikinn áhuga",NA,"Frekar illa","Píratar"
"431","Karl",30,2,"Lítinn áhuga","Sumum","Frekar vel",NA
"432","Kona",30,6,"Mikinn áhuga",NA,NA,"Píratar"
"433","Kona",45,1,"Lítinn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"434","Karl",52,5,"Mikinn áhuga"," Mörgum","Frekar illa",NA
"435","Kona",72,4,"Mjög mikinn áhuga"," Mörgum","Mjög illa","Píratar"
"436","Kona",42,2,"Nokkurn áhuga","Sumum","Frekar illa","Björt framtíð"
"437","Kona",66,4,"Mjög mikinn áhuga","Sumum","Frekar illa","Viðreisn"
"438","Karl",48,4,"Lítinn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"439","Kona",43,5,"Mjög mikinn áhuga",NA,"Frekar illa","Dögun"
"440","Karl",57,6,"Nokkurn áhuga",NA,"Frekar vel","Píratar"
"441","Karl",83,5,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"442","Karl",37,6,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"443","Karl",69,4,"Mikinn áhuga","Sumum","Frekar illa","Flokkur fólksins"
"444","Karl",54,7,"Mikinn áhuga","Sumum","Mjög illa","Björt framtíð"
"445","Kona",57,5,"Mjög mikinn áhuga",NA,"Mjög illa","Samfylkingin"
"446","Karl",60,5,"Nokkurn áhuga",NA,NA,NA
"447","Kona",54,5,"Nokkurn áhuga",NA,"Mjög illa","Vinstrihreyfingin grænt framboð"
"448","Karl",20,6,"Mjög mikinn áhuga",NA,"Frekar vel","Viðreisn"
"449","Karl",70,7,"Mjög mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"450","Kona",80,4,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"451","Kona",44,7,"Mikinn áhuga","Sumum","Frekar illa","Björt framtíð"
"452","Karl",55,2,"Mikinn áhuga"," Mörgum","Frekar illa","Píratar"
"453","Kona",47,6,"Mikinn áhuga","Sumum","Frekar vel","Viðreisn"
"454","Karl",35,7,"Lítinn áhuga",NA,"Mjög vel","Samfylkingin"
"455","Karl",58,6,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"456","Karl",67,5,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"457","Karl",31,5,"Mikinn áhuga",NA,"Mjög illa","Píratar"
"458","Karl",29,6,"Nokkurn áhuga","Fáum",NA,NA
"459","Karl",59,1,"Mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"460","Kona",38,5,"Mikinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"461","Karl",24,7,"Nokkurn áhuga","Sumum","Frekar vel","Píratar"
"462","Karl",51,7,NA,NA,"Mjög illa","Kaus ekki"
"463","Karl",87,5,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"464","Kona",42,1,"Lítinn áhuga",NA,"Frekar illa",NA
"465","Karl",42,7,"Mikinn áhuga",NA,"Mjög vel","Kaus ekki"
"466","Karl",28,7,"Nokkurn áhuga","Fáum",NA,"Píratar"
"467","Karl",56,5,"Mikinn áhuga","Sumum","Frekar illa","Píratar"
"468","Karl",61,1,"Mjög mikinn áhuga",NA,"Mjög illa","Píratar"
"469","Karl",54,5,"Nokkurn áhuga","Sumum","Frekar illa",NA
"470","Kona",57,1,"Nokkurn áhuga","Fáum","Mjög illa","Vinstrihreyfingin grænt framboð"
"471","Karl",47,7,"Nokkurn áhuga","Sumum","Frekar illa","Dögun"
"472","Karl",71,4,"Nokkurn áhuga",NA,"Frekar vel",NA
"473","Karl",46,7,"Mjög mikinn áhuga",NA,"Mjög illa","Píratar"
"474","Karl",45,7,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"475","Karl",61,4,"Lítinn áhuga",NA,"Frekar illa","Samfylkingin"
"476","Karl",66,2,"Mjög mikinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"477","Karl",39,2,"Lítinn áhuga",NA,"Mjög illa","Kaus ekki"
"478","Kona",72,5,"Mikinn áhuga","Sumum","Mjög illa","Vinstrihreyfingin grænt framboð"
"479","Karl",36,1,"Mikinn áhuga",NA,"Mjög illa","Píratar"
"480","Karl",50,7,"Mikinn áhuga",NA,"Frekar vel","Píratar"
"481","Kona",18,1,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"482","Karl",35,5,"Mikinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"483","Kona",60,7,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"484","Karl",34,5,"Lítinn áhuga","Fáum","Frekar vel","Píratar"
"485","Kona",83,6,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"486","Kona",36,7,"Mjög mikinn áhuga"," Mörgum","Frekar vel","Vinstrihreyfingin grænt framboð"
"487","Kona",29,5,"Mjög mikinn áhuga",NA,"Mjög vel","Viðreisn"
"488","Karl",39,7,"Nokkurn áhuga","Fáum","Frekar illa",NA
"489","Karl",87,2,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"490","Kona",68,6,"Lítinn áhuga","Sumum","Frekar illa","Viðreisn"
"491","Karl",60,2,"Mikinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"492","Kona",37,1,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"493","Karl",71,7,"Mikinn áhuga","Sumum","Mjög illa","Píratar"
"494","Kona",50,6,"Mikinn áhuga",NA,"Frekar illa","Björt framtíð"
"495","Karl",60,4,"Lítinn áhuga","Fáum","Frekar illa","Samfylkingin"
"496","Kona",46,6,"Mikinn áhuga"," Mörgum","Frekar vel","Viðreisn"
"497","Kona",50,1,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"498","Karl",71,4,"Mikinn áhuga","Sumum","Frekar vel","Viðreisn"
"499","Karl",40,7,"Mikinn áhuga",NA,"Mjög illa","Samfylkingin"
"500","Karl",54,1,"Mjög mikinn áhuga",NA,"Frekar illa","Píratar"
"501","Kona",31,5,"Nokkurn áhuga","Sumum","Frekar vel","Viðreisn"
"502","Kona",56,5,"Nokkurn áhuga"," Mörgum","Frekar illa","Vinstrihreyfingin grænt framboð"
"503","Karl",77,5,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"504","Kona",51,2,"Mjög mikinn áhuga","Yfirleitt","Frekar illa","Sjálfstæðisflokkurinn"
"505","Kona",60,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Píratar"
"506","Kona",46,1,"Mjög mikinn áhuga",NA,"Frekar illa","Kaus ekki"
"507","Kona",74,5,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"508","Karl",76,5,"Mikinn áhuga","Fáum","Frekar illa",NA
"509","Karl",53,7,"Mikinn áhuga","Sumum","Frekar illa","Píratar"
"510","Kona",61,5,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"511","Kona",47,5,"Mikinn áhuga","Sumum","Mjög illa","Píratar"
"512","Karl",32,5,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"513","Karl",75,2,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"514","Kona",50,5,"Mjög mikinn áhuga","Sumum","Frekar vel","Björt framtíð"
"515","Karl",34,7,"Nokkurn áhuga","Sumum","Frekar illa","Viðreisn"
"516","Kona",46,6,"Mikinn áhuga",NA,"Mjög illa","Píratar"
"517","Kona",78,7,"Nokkurn áhuga",NA,"Mjög illa","Samfylkingin"
"518","Karl",70,5,"Nokkurn áhuga","Fáum","Mjög illa",NA
"519","Karl",64,1,"Mikinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"520","Kona",36,6,"Nokkurn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"521","Karl",64,4,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"522","Karl",23,2,"Nokkurn áhuga",NA,"Mjög illa","Píratar"
"523","Kona",48,6,"Nokkurn áhuga",NA,"Mjög illa",NA
"524","Karl",62,5,"Mikinn áhuga","Sumum","Frekar vel","Sjálfstæðisflokkurinn"
"525","Karl",45,1,"Mjög mikinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"526","Karl",27,5,"Nokkurn áhuga",NA,"Frekar vel","Björt framtíð"
"527","Kona",47,6,"Nokkurn áhuga"," Mörgum","Frekar illa","Sjálfstæðisflokkurinn"
"528","Karl",39,7,"Nokkurn áhuga","Fáum","Mjög illa","Vinstrihreyfingin grænt framboð"
"529","Karl",66,2,"Mikinn áhuga",NA,"Mjög illa","Framsóknarflokkurinn"
"530","Karl",48,7,"Mikinn áhuga",NA,"Frekar vel","Píratar"
"531","Karl",81,5,"Mikinn áhuga",NA,"Frekar illa","Viðreisn"
"532","Karl",68,7,"Mikinn áhuga"," Mörgum","Frekar illa",NA
"533","Karl",45,5,"Nokkurn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"534","Kona",74,6,"Mjög mikinn áhuga"," Mörgum","Frekar vel",NA
"535","Kona",52,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"536","Karl",49,4,"Lítinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"537","Kona",68,6,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"538","Karl",60,7,"Nokkurn áhuga","Sumum","Frekar vel",NA
"539","Karl",55,5,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"540","Kona",68,5,"Lítinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"541","Karl",61,1,"Mikinn áhuga","Fáum","Frekar vel","Framsóknarflokkurinn"
"542","Kona",64,6,"Mjög mikinn áhuga","Engum","Mjög illa","Píratar"
"543","Kona",70,1,"Lítinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"544","Karl",64,7,"Mikinn áhuga","Yfirleitt","Frekar illa","Björt framtíð"
"545","Karl",73,4,"Nokkurn áhuga",NA,"Frekar illa","Samfylkingin"
"546","Kona",49,1,"Mikinn áhuga"," Mörgum","Frekar illa","Flokkur fólksins"
"547","Karl",42,6,"Nokkurn áhuga","Sumum","Frekar illa","Píratar"
"548","Karl",41,7,"Nokkurn áhuga","Sumum",NA,"Vinstrihreyfingin grænt framboð"
"549","Karl",29,5,"Mikinn áhuga","Fáum","Frekar illa","Píratar"
"550","Karl",56,6,"Lítinn áhuga",NA,NA,"Dögun"
"551","Karl",57,2,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"552","Karl",38,6,"Mjög mikinn áhuga",NA,NA,"Viðreisn"
"553","Karl",32,4,"Mikinn áhuga"," Mörgum","Frekar vel","Píratar"
"554","Kona",42,1,"Nokkurn áhuga",NA,"Frekar illa","Kaus ekki"
"555","Karl",38,4,"Nokkurn áhuga","Fáum","Mjög illa","Píratar"
"556","Kona",41,1,"Lítinn áhuga","Sumum","Frekar illa",NA
"557","Kona",84,6,"Lítinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"558","Karl",50,7,"Mikinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"559","Kona",45,5,"Lítinn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"560","Karl",37,2,"Mikinn áhuga",NA,"Frekar vel","Björt framtíð"
"561","Karl",51,1,"Mjög mikinn áhuga","Fáum","Mjög illa",NA
"562","Kona",53,5,"Lítinn áhuga",NA,"Frekar vel",NA
"563","Kona",68,1,"Nokkurn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"564","Karl",45,4,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"565","Kona",31,4,"Nokkurn áhuga",NA,"Frekar vel","Björt framtíð"
"566","Kona",54,6,"Mikinn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"567","Karl",38,6,"Nokkurn áhuga",NA,NA,"Kaus ekki"
"568","Karl",46,1,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"569","Kona",20,7,"Lítinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"570","Karl",64,5,"Nokkurn áhuga","Yfirleitt",NA,"Flokkur fólksins"
"571","Karl",48,7,"Mikinn áhuga",NA,"Mjög vel","Sjálfstæðisflokkurinn"
"572","Karl",23,5,"Mikinn áhuga","Fáum","Frekar vel","Píratar"
"573","Kona",53,5,"Nokkurn áhuga",NA,"Frekar illa",NA
"574","Kona",30,7,"Mikinn áhuga","Sumum","Frekar vel","Vinstrihreyfingin grænt framboð"
"575","Kona",51,7,"Lítinn áhuga","Sumum","Frekar illa","Björt framtíð"
"576","Karl",74,5,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"577","Karl",28,5,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"578","Kona",32,7,"Engan áhuga","Sumum","Mjög illa","Píratar"
"579","Kona",49,6,"Nokkurn áhuga",NA,"Frekar vel","Viðreisn"
"580","Kona",44,6,"Mikinn áhuga",NA,"Frekar vel","Björt framtíð"
"581","Kona",64,5,"Mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"582","Kona",76,5,"Nokkurn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"583","Karl",53,6,"Nokkurn áhuga"," Mörgum","Frekar vel","Sjálfstæðisflokkurinn"
"584","Karl",36,7,"Nokkurn áhuga","Sumum","Mjög illa","Vinstrihreyfingin grænt framboð"
"585","Karl",20,5,"Nokkurn áhuga",NA,"Frekar illa","Björt framtíð"
"586","Kona",28,6,"Lítinn áhuga","Sumum",NA,NA
"587","Karl",26,6,"Mjög mikinn áhuga","Sumum","Mjög illa","Björt framtíð"
"588","Karl",29,6,"Mikinn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"589","Kona",26,7,"Lítinn áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"590","Karl",43,7,"Mjög mikinn áhuga",NA,"Frekar vel","Björt framtíð"
"591","Karl",56,6,"Nokkurn áhuga",NA,"Frekar vel","Björt framtíð"
"592","Kona",71,1,"Nokkurn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"593","Kona",73,1,"Engan áhuga","Sumum","Frekar illa","Viðreisn"
"594","Karl",28,6,"Mjög mikinn áhuga"," Mörgum","Frekar illa","Kaus ekki"
"595","Karl",20,4,"Lítinn áhuga","Sumum","Frekar vel","Kaus ekki"
"596","Karl",38,5,"Nokkurn áhuga","Sumum","Frekar vel","Vinstrihreyfingin grænt framboð"
"597","Kona",71,5,"Nokkurn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"598","Karl",48,7,"Nokkurn áhuga",NA,"Frekar vel","Björt framtíð"
"599","Kona",67,1,"Nokkurn áhuga","Sumum","Frekar illa","Sjálfstæðisflokkurinn"
"600","Karl",18,4,"Mikinn áhuga",NA,"Frekar illa",NA
"601","Kona",31,4,"Mikinn áhuga"," Mörgum","Frekar vel","Píratar"
"602","Kona",24,2,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"603","Karl",58,4,"Nokkurn áhuga"," Mörgum","Frekar vel",NA
"604","Karl",18,1,"Nokkurn áhuga",NA,"Frekar vel",NA
"605","Karl",58,6,"Mjög mikinn áhuga",NA,"Mjög illa","Píratar"
"606","Karl",75,6,"Mjög mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"607","Kona",68,7,"Mikinn áhuga"," Mörgum","Frekar illa","Samfylkingin"
"608","Kona",48,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Björt framtíð"
"609","Kona",33,7,"Nokkurn áhuga","Sumum",NA,NA
"610","Karl",43,5,"Mikinn áhuga","Engum","Frekar illa","Samfylkingin"
"611","Karl",65,5,"Mjög mikinn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"612","Karl",18,5,"Nokkurn áhuga",NA,"Frekar vel",NA
"613","Kona",21,7,"Lítinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"614","Kona",50,2,"Mikinn áhuga"," Mörgum",NA,NA
"615","Kona",40,5,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"616","Karl",60,5,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"617","Kona",41,6,"Nokkurn áhuga","Sumum",NA,"Samfylkingin"
"618","Kona",68,5,"Nokkurn áhuga",NA,"Frekar vel","Sjálfstæðisflokkurinn"
"619","Kona",54,7,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"620","Kona",18,6,"Nokkurn áhuga","Sumum","Frekar vel",NA
"621","Kona",22,6,"Mjög mikinn áhuga",NA,"Frekar vel","Viðreisn"
"622","Kona",36,5,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"623","Kona",65,7,"Mjög mikinn áhuga",NA,"Mjög illa","Samfylkingin"
"624","Karl",52,6,"Mikinn áhuga",NA,NA,"Vinstrihreyfingin grænt framboð"
"625","Karl",60,4,"Mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"626","Karl",51,7,"Nokkurn áhuga"," Mörgum","Frekar vel","Björt framtíð"
"627","Karl",68,6,"Mikinn áhuga","Yfirleitt","Frekar vel","Viðreisn"
"628","Kona",67,5,"Mikinn áhuga","Sumum",NA,"Samfylkingin"
"629","Kona",73,5,"Lítinn áhuga"," Mörgum","Frekar vel","Framsóknarflokkurinn"
"630","Kona",34,7,"Mjög mikinn áhuga",NA,"Frekar vel","Vinstrihreyfingin grænt framboð"
"631","Karl",19,7,"Mikinn áhuga",NA,"Frekar vel","Björt framtíð"
"632","Karl",83,5,"Lítinn áhuga","Sumum",NA,"Samfylkingin"
"633","Karl",55,1,"Mikinn áhuga","Sumum","Frekar illa","Samfylkingin"
"634","Kona",73,6,"Nokkurn áhuga"," Mörgum","Mjög vel","Sjálfstæðisflokkurinn"
"635","Karl",80,7,"Nokkurn áhuga",NA,"Mjög illa","Flokkur fólksins"
"636","Karl",38,1,"Mikinn áhuga",NA,"Frekar vel","Viðreisn"
"637","Karl",42,1,"Mjög mikinn áhuga",NA,"Frekar vel","Viðreisn"
"638","Karl",54,2,"Mjög mikinn áhuga",NA,"Frekar illa","Viðreisn"
"639","Karl",59,1,"Mikinn áhuga","Sumum","Mjög illa","Píratar"
